GEOID,state_sovi_rank,fema_region_sovi_rank,us_sovi_rank
g48229,,32.0,21.0
g48231,,182.0,201.0
g48233,,180.0,190.0
g48235,,233.0,207.0
g48237,,238.0,240.0
g48239,,192.0,155.0
g48241,,173.0,168.0
g48243,,105.0,59.0
g48245,,145.0,166.0
g48247,,44.0,27.0
g48249,,55.0,32.0
g48251,,226.0,237.0
g48253,,141.0,186.0
g48255,,138.0,140.0
g48257,,223.0,229.0
g48259,,244.0,238.0
g48261,,12.0,12.0
g48263,,56.0,88.0
g48265,,49.0,42.0
g48267,,53.0,47.0
g48269,,229.0,241.0
g48271,,25.0,31.0
g48273,,45.0,43.0
g48275,,17.0,25.0
g48277,,67.0,101.0
g48279,,33.0,33.0
g48281,,144.0,159.0
g48283,,30.0,18.0
g48285,,125.0,116.0
g48287,,200.0,181.0
g48289,,170.0,115.0
g48291,,227.0,223.0
g48293,,134.0,126.0
g48295,,184.0,189.0
g48297,,116.0,111.0
g48299,,73.0,50.0
g48301,,254.0,254.0
g48303,,99.0,156.0
g48305,,48.0,46.0
g48307,,66.0,78.0
g48309,,79.0,114.0
g48311,,228.0,230.0
g48313,,194.0,180.0
g48315,,124.0,89.0
g48317,,163.0,157.0
g48319,,121.0,96.0
g48321,,101.0,97.0
g48323,,5.0,4.0
g48325,,177.0,145.0
g48327,,9.0,14.0
g48329,,240.0,214.0
g48331,,81.0,79.0
g48333,,62.0,72.0
g48335,,219.0,239.0
g48337,,135.0,141.0
g48339,,245.0,245.0
g48341,,92.0,117.0
g48343,,46.0,56.0
g48345,,139.0,208.0
g48347,,136.0,135.0
g48349,,127.0,110.0
g48351,,198.0,204.0
g48353,,34.0,44.0
g48355,,60.0,55.0
g48357,,191.0,164.0
g48359,,43.0,71.0
g48361,,204.0,225.0
g48363,,130.0,107.0
g48365,,234.0,212.0
g48367,,246.0,246.0
g48369,,94.0,80.0
g48371,,120.0,93.0
g48373,,118.0,119.0
g48375,,52.0,83.0
g48377,,14.0,8.0
g48379,,158.0,179.0
g48381,,206.0,224.0
g48383,,242.0,222.0
g48385,,27.0,29.0
g48387,,37.0,39.0
g48389,,22.0,19.0
g48391,,40.0,30.0
g48393,,181.0,172.0
g48395,,109.0,70.0
g48397,,249.0,248.0
g48399,,38.0,38.0
g48401,,209.0,206.0
g48403,,59.0,51.0
g48405,,28.0,23.0
g48407,,201.0,183.0
g48409,,88.0,75.0
g48411,,151.0,139.0
g48413,,176.0,106.0
g48415,,179.0,169.0
g48417,,160.0,165.0
g48419,,195.0,154.0
g48421,,149.0,147.0
g48423,,175.0,170.0
g48425,,214.0,216.0
g48427,,2.0,2.0
g48429,,162.0,161.0
g48431,,185.0,158.0
g48433,,167.0,200.0
g48435,,232.0,176.0
g48437,,83.0,123.0
g48439,,152.0,209.0
g48441,,80.0,125.0
g48443,,82.0,62.0
g48445,,91.0,95.0
g48447,,142.0,177.0
g48449,,95.0,104.0
g48451,,69.0,84.0
g48453,,211.0,231.0
g48455,,76.0,53.0
g48457,,168.0,185.0
g48459,,196.0,202.0
g48461,,100.0,82.0
g48463,,18.0,20.0
g48465,,23.0,22.0
g48467,,128.0,148.0
g48469,,107.0,100.0
g48471,,205.0,227.0
g48473,,237.0,221.0
g48475,,84.0,57.0
g48477,,112.0,108.0
g48479,,15.0,9.0
g48481,,89.0,66.0
g48483,,169.0,146.0
g48485,,113.0,173.0
g48487,,36.0,48.0
g48489,,10.0,17.0
g48491,,236.0,244.0
g48493,,220.0,210.0
g48495,,133.0,105.0
g48497,,243.0,242.0
g48499,,70.0,77.0
g48501,,212.0,137.0
g48503,,110.0,120.0
g48505,,20.0,13.0
g48507,,4.0,3.0
g51001,,20.0,34.0
g51003,,114.0,109.0
g51005,,48.0,33.0
g51007,,95.0,101.0
g51009,,86.0,49.0
g51011,,63.0,63.0
g51013,,129.0,133.0
g51015,,101.0,94.0
g51017,,25.0,21.0
g51019,,111.0,106.0
g51021,,46.0,105.0
g51023,,126.0,110.0
g51025,,5.0,22.0
g51027,,36.0,47.0
g51029,,15.0,40.0
g51031,,94.0,78.0
g51033,,89.0,92.0
g51035,,44.0,52.0
g51036,,123.0,77.0
g51037,,29.0,31.0
g51041,,115.0,118.0
g51043,,118.0,117.0
g51045,,79.0,56.0
g51047,,76.0,103.0
g51049,,47.0,67.0
g51051,,33.0,54.0
g51053,,61.0,82.0
g51057,,32.0,37.0
g51059,,99.0,130.0
g51061,,121.0,122.0
g51063,,88.0,81.0
g51065,,113.0,83.0
g51067,,80.0,79.0
g51069,,110.0,111.0
g51071,,81.0,68.0
g51073,,107.0,99.0
g51075,,131.0,128.0
g51077,,35.0,32.0
g51079,,82.0,95.0
g51081,,6.0,104.0
g51083,,30.0,17.0
g51085,,132.0,119.0
g51087,,103.0,91.0
g51089,,45.0,36.0
g51091,,56.0,26.0
g51093,,109.0,107.0
g51095,,96.0,88.0
g51097,,73.0,93.0
g51099,,124.0,126.0
g51101,,130.0,114.0
g51103,,8.0,7.0
g51105,,41.0,41.0
g51107,,127.0,134.0
g51109,,97.0,100.0
g51111,,17.0,61.0
g51113,,55.0,62.0
g51115,,52.0,45.0
g51117,,13.0,16.0
g51119,,31.0,48.0
g51121,,116.0,112.0
g51125,,42.0,38.0
g51127,,125.0,121.0
g51131,,10.0,12.0
g51133,,28.0,19.0
g51135,,12.0,28.0
g51137,,78.0,73.0
g51139,,50.0,53.0
g51141,,22.0,20.0
g51143,,72.0,74.0
g51145,,119.0,131.0
g51147,,26.0,42.0
g51149,,106.0,127.0
g51153,,71.0,124.0
g51155,,68.0,59.0
g51157,,108.0,97.0
g51159,,9.0,85.0
g51161,,117.0,89.0
g51163,,77.0,65.0
g51165,,93.0,86.0
g51167,,60.0,66.0
g51169,,38.0,43.0
g51171,,58.0,50.0
g51173,,43.0,30.0
g51175,,34.0,71.0
g51177,,102.0,116.0
g51179,,122.0,129.0
g51181,,59.0,90.0
g51183,,7.0,84.0
g51185,,69.0,60.0
g51187,,104.0,98.0
g51191,,100.0,80.0
g51193,,24.0,39.0
g51195,,53.0,75.0
g51197,,62.0,55.0
g51199,,128.0,120.0
g51510,,98.0,115.0
g51515,,27.0,6.0
g51520,,49.0,9.0
g51530,,70.0,15.0
g51540,,84.0,70.0
g51550,,120.0,113.0
g51570,,54.0,24.0
g51580,,64.0,46.0
g51590,,19.0,8.0
g51595,,1.0,2.0
g51600,,90.0,123.0
g51610,,134.0,132.0
g51620,,18.0,4.0
g51630,,83.0,57.0
g51640,,2.0,1.0
g51650,,87.0,76.0
g51660,,39.0,35.0
g51670,,23.0,11.0
g51678,,16.0,102.0
g51680,,66.0,23.0
g51683,,11.0,87.0
g51685,,3.0,64.0
g51690,,14.0,3.0
g51700,,74.0,58.0
g51710,,57.0,72.0
g51720,,85.0,14.0
g51730,,4.0,5.0
g51735,,133.0,125.0
g51740,,51.0,29.0
g51750,,75.0,44.0
g51760,,37.0,18.0
g51770,,40.0,13.0
g51775,,91.0,51.0
g51790,,65.0,10.0
g51800,,105.0,96.0
g51810,,112.0,108.0
g51820,,67.0,25.0
g51830,,92.0,69.0
g51840,,21.0,27.0
